"","mean.kcrate.nM.hr","sd.kcrate.nM.hr","stn","depthid","site","expt","substrate","timepoint"
"stn6-d1-bulk-lam-t2",10.85,1.36,"6","d1","6.d1","bulk","lam","t2"
"stn6-d1-bulk-pul-t1",7,12.12,"6","d1","6.d1","bulk","pul","t1"
"stn6-d1-bulk-xyl-t5",1.28,0.31,"6","d1","6.d1","bulk","xyl","t5"
"stn6-d2-bulk-ara-t3",0.45,0.79,"6","d2","6.d2","bulk","ara","t3"
"stn6-d2-bulk-chon-t1",26.6,23.18,"6","d2","6.d2","bulk","chon","t1"
"stn6-d2-bulk-fuc-t1",4.71,7.96,"6","d2","6.d2","bulk","fuc","t1"
"stn6-d2-bulk-lam-t1",23.24,20.21,"6","d2","6.d2","bulk","lam","t1"
"stn6-d2-bulk-pul-t2",5.43,9.11,"6","d2","6.d2","bulk","pul","t2"
"stn6-d2-bulk-xyl-t3",2.54,1.58,"6","d2","6.d2","bulk","xyl","t3"
"stn6-d3-bulk-ara-t3",0.3,0.03,"6","d3","6.d3","bulk","ara","t3"
"stn6-d3-bulk-chon-t2",15.65,0.7,"6","d3","6.d3","bulk","chon","t2"
"stn6-d3-bulk-fuc-t1",22.27,23.49,"6","d3","6.d3","bulk","fuc","t1"
"stn6-d3-bulk-lam-t2",9.54,1.7,"6","d3","6.d3","bulk","lam","t2"
"stn6-d3-bulk-pul-t1",13.01,11.56,"6","d3","6.d3","bulk","pul","t1"
"stn6-d3-bulk-xyl-t4",1.49,0.18,"6","d3","6.d3","bulk","xyl","t4"
"stn6-d4-bulk-ara-t1",2.05,1.06,"6","d4","6.d4","bulk","ara","t1"
"stn6-d4-bulk-chon-t4",4.1,0.15,"6","d4","6.d4","bulk","chon","t4"
"stn6-d4-bulk-fuc-t2",2.68,4.35,"6","d4","6.d4","bulk","fuc","t2"
"stn6-d4-bulk-lam-t3",3.09,1.77,"6","d4","6.d4","bulk","lam","t3"
"stn6-d4-bulk-pul-t1",11.92,17.44,"6","d4","6.d4","bulk","pul","t1"
"stn6-d4-bulk-xyl-t1",2.63,3.43,"6","d4","6.d4","bulk","xyl","t1"
"stn6-d5-bulk-ara-t0",0,0,"6","d5","6.d5","bulk","ara","t0"
"stn6-d5-bulk-chon-t3",4.95,2.19,"6","d5","6.d5","bulk","chon","t3"
"stn6-d5-bulk-fuc-t6",6.38,7.87,"6","d5","6.d5","bulk","fuc","t6"
"stn6-d5-bulk-lam-t3",2.82,0.37,"6","d5","6.d5","bulk","lam","t3"
"stn6-d5-bulk-pul-t2",3.26,4.65,"6","d5","6.d5","bulk","pul","t2"
"stn6-d5-bulk-xyl-t4",4.24,0.01,"6","d5","6.d5","bulk","xyl","t4"
"stn7-d1-bulk-ara-t2",0.23,0.22,"7","d1","7.d1","bulk","ara","t2"
"stn7-d1-bulk-chon-t2",17.68,1.17,"7","d1","7.d1","bulk","chon","t2"
"stn7-d1-bulk-fuc-t3",0.21,0.27,"7","d1","7.d1","bulk","fuc","t3"
